"Denver_Building_Id","Compliance_Status","Property_Name","Street","Zipcode","Year_Built","Address_Source","Address_Type","Master_Property_Type","Primary_Property_Type___EPA_Calculated","Assessor_Sector","Government_Type","Master_Sq_Ft","Reported_for_Year","ENERGY_STAR_Score","Site_Energy_Use__kBtu_","Site_EUI__kBtu_sq_ft_","Weather_Normalized_Site_Energy_Use","Weather_Normalized_Site_EUI__kBtu_sq_ft_","Electricity_use_Grid_Purchase_and_Onsite","Electricity_Use___Grid_Purchase__kWh_","Electricity_Use_Onsite_Renewable__kWh_","Green_Power___Offsite__kWh_","Green_Power___Onsite__kWh_","Natural_Gas_Use__kBtu_","District_Steam_Use__kBtu_","District_Chilled_Water_use__kBtu_","Total_GHG_Emissions__Metric_Tons_C02e_","ENERGY_STAR_Certification_Year_s__Cert","Recent_Energy_Star_Certification"
6156,Exempt,FEDERAL APARTMENTS,1775 N FEDERAL BLVD,80204,2019,Assessor Data,Building,RESIDENTIAL-APARTMENT,,RESIDENTIAL-APARTMENT,,40324,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6217,Exempt,,240 N SAINT PAUL ST,80206-5126,2020,Assessor Data,Building,COMMERCIAL-OFFICE,,COMMERCIAL-OFFICE,,83591,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6137,Not Submitted,HOME2SUITES - HILTON,9193 E 47TH AVE,80238,2019,Assessor Data,Building,COMMERCIAL-HOTEL,,COMMERCIAL-HOTEL,,70379,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3913,Exempt,Teikyo Loretto Heights University,3001 S FEDERAL BLVD,80236-2711,1964,Assessor Data,Building,Commercial/Residential Mixed-use,,Commercial/Residential Mixed-use,,47161,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6201,Not Submitted,,155 N STEELE ST,80206,2017,Assessor Data,Building,RESIDENTIAL-CONDOMINIUM,,RESIDENTIAL-CONDOMINIUM,,114121,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6145,Not Submitted,35TH & BLAKE OFFICE,3501 BLAKE ST,80205,2019,Assessor Data,Building,COMMERCIAL-OFFICE,,COMMERCIAL-OFFICE,,39936,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5957,Not Submitted,,3535 E 2ND AVE,80206-5557,1984,Assessor Data,Building,Multi-family Condominium,,Multi-family Condominium,,34134,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6130,Not Submitted,York Space Systems,1449 7TH ST,80204,2016,Corrected Building Address,Building,INDUSTRIAL - SCHOOL,,INDUSTRIAL - SCHOOL,,124220,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6204,Exempt,,6619 E LOWRY BLVD,80224,2018,Assessor Data,Building,RESIDENTIAL-CONDOMINIUM,,RESIDENTIAL-CONDOMINIUM,,76170,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6197,Not Submitted,,2729 W 28TH AVE,80211,2017,Assessor Data,Building,RESIDENTIAL-CONDOMINIUM,,RESIDENTIAL-CONDOMINIUM,,45257,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5414,Not Submitted,,403 16th St,80202,1981,Assessor Data,Building,Commercial Condominium,,Commercial Condominium,,49176,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6138,Not Submitted,SPROUTS GROCERY,3555 N CENTRAL PARK BLVD,80238,2019,Assessor Data,Building,COMMERCIAL-RETAIL,,COMMERCIAL-RETAIL,,26620,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5953,Not Submitted,,1727 PEARL ST,80203-1487,1999,Assessor Data,Building,Multi-family Condominium,,Multi-family Condominium,,26370,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6205,Exempt,,6618 E LOWRY BLVD,80224,2019,Assessor Data,Building,RESIDENTIAL-CONDOMINIUM,,RESIDENTIAL-CONDOMINIUM,,74260,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022,Exempt,Auraria Student Housing at The Regency,3900 Elati St,80216,1972,Portfolio Manager,Building,Residence Hall/Dormitory,Residence Hall/Dormitory,Institutional,,294950,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6141,Not Submitted,THE HUB 2 OFFICE,3660 BLAKE ST,80205,2019,Assessor Data,Building,COMMERCIAL-OFFICE,,COMMERCIAL-OFFICE,,110467,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5180,Not Submitted,La Mirada Condominiums,1358 S IRVING ST,,1984,Assessor Data,Building,Multi-family Condominium,,Multi-family Condominium,,47955,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6114,Exempt,,450 E 52ND AVE,802016,2018,Assessor Data,Building,INDUSTRIAL - WAREHOUSEv,,INDUSTRIAL - WAREHOUSEv,,30043,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1271,Not Submitted,Kroger / King Soopers - Stapleton,10251 E 51st Ave,80239,1995,Portfolio Manager,Building,Refrigerated Warehouse,Refrigerated Warehouse,Commercial,,448289,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6172,Exempt,SHERIDAN STATION,5330 W 11TH AVE,80214,2019,Assessor Data,Building,RESIDENTIAL-APARTMENT,,RESIDENTIAL-APARTMENT,,97907,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6215,Exempt,,3301 N BRIGHTON BLVD,80216,2020,Assessor Data,Building,RETAIL W/MIXED USE,,RETAIL W/MIXED USE,,369915,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6182,Not Submitted,CENTURA HEALTH,7000 E HAMPDEN AVE,80224,2019,Assessor Data,Building,COMMERCIAL-MEDICAL OFFICE,,COMMERCIAL-MEDICAL OFFICE,,25274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6164,Not Submitted,UNIT 3,2101 ARAPAHOE ST,80205,2019,Assessor Data,Building,COMMERCIAL-CONDOMINIUM,,COMMERCIAL-CONDOMINIUM,,60041,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3912,Exempt,Teikyo Loretto Heights University,3001 S FEDERAL BLVD,80236-2711,1964,Assessor Data,Building,Commercial/Residential Mixed-use,,Commercial/Residential Mixed-use,,47161,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2141,Not Submitted,Gilliam Youth Services Center,2844 Downing St.,80205,1967,Portfolio Manager,Building,Other - Public Services,Other - Public Services,Institutional,State,60304,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6159,Not Submitted,THOMPSON HOTEL,1616 MARKET ST,80202,2019,Assessor Data,Building,COMMERCIAL-HOTEL,,COMMERCIAL-HOTEL,,161316,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3608,Not Submitted,Marlee Shopping Center,4310 W Florida Ave,80219,1950,Portfolio Manager,Building,Other - Mall,Other - Mall,Commercial,,90000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2672,Exempt,,1840 GRANT ST,80203,1915,Assessor Data,Building,Commercial/Residential Mixed-use,,Commercial/Residential Mixed-use,,34610,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6143,Exempt,REVOLUTION 360,3600 N BRIGHTON BLVD,80216,2019,Assessor Data,Building,COMMERCIAL-OFFICE,,COMMERCIAL-OFFICE,,176795,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6190,Exempt,FUTURE VIB HOTEL,3560 N BRIGHTON BLVD,80216,2020,Assessor Data,Building,COMMERCIAL-HOTEL,,COMMERCIAL-HOTEL,,91814,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5264,Not Submitted,,1900 S RARITAN ST,,1970,Assessor Data,Building,Multi-family,,Multi-family,,31358,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6203,Not Submitted,,155 S MONACO STREET PKWY,80224,2017,Assessor Data,Building,RESIDENTIAL-CONDOMINIUM,,RESIDENTIAL-CONDOMINIUM,,50955,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6131,Exempt,AVID HOTEL,6785 N ARGONNE ST,80249,2019,Assessor Data,Building,COMMERCIAL-HOTEL,,COMMERCIAL-HOTEL,,44347,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1966,Not Submitted,The Lofts at Berkeley Park,4383 TENNYSON ST,,2002,Assessor Data,Building,Multi-family Condominium,,Multi-family Condominium,,44312,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6158,Not Submitted,1800 MARKET COMM,1800 MARKET ST,80202,2019,Assessor Data,Building,RETAIL W/MIXED USE,,RETAIL W/MIXED USE,,279805,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3505,Not Submitted,Westerra Credit Union,3700 East Alameda Ave.,80209,1987,Portfolio Manager,Building,Financial Office,Financial Office,Commercial,,49732,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5514,Not Submitted,,7700 W GRANT RANCH BLVD,,1997,Assessor Data,Building,Multi-family Condominium,,Multi-family Condominium,,32794,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6173,Not Submitted,DHA OUTPATIENT CLINI,675 N ACOMA ST,80204,2019,Assessor Data,Building,COMMERCIAL-MEDICAL OFFICE,,COMMERCIAL-MEDICAL OFFICE,,236524,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5854,Not Submitted,4255 W Colfax Ave,4255 W Colfax Ave,80204,2016,Portfolio Manager,Building,MOVIE THEATER,MOVIE THEATER,Commercial,,32696,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2106,Exempt,,4228 York St,80216,1947,Portfolio Manager,Building,Commercial Condominium,,Commercial Condominium,,37619,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5289,Not Submitted,,101 N BROADWAY,80203-3916,1925,Assessor Data,Building,Commercial/Residential Mixed-use,,Commercial/Residential Mixed-use,,52208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6180,Exempt,3-STORY SE BUILDING,44 N PONTIAC ST,80224,2019,Assessor Data,Building,COMMERCIAL-SHOPPING CENTER,,COMMERCIAL-SHOPPING CENTER,,107627,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3386,Not Submitted,Security Service F.C.U. ID #3386,99 S.Broadway Ave,80209,1971,Portfolio Manager,Building,BANK BRANCH,BANK BRANCH,Commercial,,25532,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1881,Not Submitted,superior farms,4900 clarkson st,80216,1968,Portfolio Manager,Building,Parking,Parking,Commercial,,45775,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6165,Not Submitted,UNIT 4,2101 ARAPAHOE ST,80205,2019,Assessor Data,Building,COMMERCIAL-CONDOMINIUM,,COMMERCIAL-CONDOMINIUM,,60041,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6188,Not Submitted,FAIRFIELD INN BY MARRIOTT,16191 E 40TH AVE,80239,2020,Assessor Data,Building,COMMERCIAL-HOTEL,,COMMERCIAL-HOTEL,,82475,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6153,Not Submitted,MCGREGOR SQ-OFFICE,1601 19TH ST,80202,2019,Assessor Data,Building,COMMERCIAL-OFFICE,,COMMERCIAL-OFFICE,,481621,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2562,Exempt,Denver FGA/GHL Terminal (830126),1055 19th St.,80202,1975,Portfolio Manager,Building,Transportation Terminal/Station,Transportation Terminal/Station,Commercial,,48395,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5126,Exempt,Sports Castle,1000 N. Broadway,80203,1925,Portfolio Manager,Building,Other - Services,Other - Services,Commercial,,50000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6149,Exempt,MARION STREET APTS,3701 N MARION ST,80205,2019,Assessor Data,Building,RESIDENTIAL-APARTMENT,,RESIDENTIAL-APARTMENT,,40108,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1366,Not Submitted,6530 - Denver DC (Stapleton and Dahlia Campus),4600 Stapleton Drive South,80216,1993,Portfolio Manager,Building,Refrigerated Warehouse,Refrigerated Warehouse,Commercial,,1798900,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4408,Not Submitted,Emich Volkswagen,1260 S Colorado Blvd,80246,1960,Portfolio Manager,Building,AUTOMOBILE DEALERSHIP,AUTOMOBILE DEALERSHIP,Commercial,,34677,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2497,Not Submitted,Glenarm Restaurant Concepts,1222 Glenarm Pl,80204,1913,Portfolio Manager,Building,Bar/Nightclub,Bar/Nightclub,Commercial,,32000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2486,Not Submitted,Denver Athletic Club,1325 Glenarm Place,80204,1890,Portfolio Manager,Building,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,Commercial,,199893,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5378,Not Submitted,3300 High St Condos,3318 HIGH ST,,1954,Assessor Data,Building,Multi-family Condominium,,Multi-family Condominium,,51732,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6196,Not Submitted,,1735 CENTRAL ST,80211,2018,Assessor Data,Building,RESIDENTIAL-CONDOMINIUM,,RESIDENTIAL-CONDOMINIUM,,40543,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6198,Not Submitted,,4200 W 17TH AVE,80204,2017,Assessor Data,Building,RESIDENTIAL-CONDOMINIUM,,RESIDENTIAL-CONDOMINIUM,,246740,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4940,Not Submitted,Fort Logan - Colorado Mental Heath Institute,3685 W. Oxford Ave.,80236,1963,Portfolio Manager,Building,Other - Specialty Hospital,Other - Specialty Hospital,Institutional,State,528802,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4545,Not Submitted,APP_UniPath,6116 E Warren Ave,80222,1978,Portfolio Manager,Building,LABORATORY,LABORATORY,Commercial,,39640,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6178,Exempt,INN @ CHERRY CREEK,233 N CLAYTON ST,80206,2019,Assessor Data,Building,COMMERCIAL-HOTEL,,COMMERCIAL-HOTEL,,59929,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2816,Not Submitted,Pecos 2 llc,2155 s. sheridan blvd,80227,1976,Portfolio Manager,Building,Other - Mall,Other - Mall,Commercial,,110000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6127,Exempt,Milo Apartments,4109 E 10TH AVE,80220,2018,Assessor Data,Building,Multifamily,,Multifamily,,233619,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2140,Not Submitted,Downing Street Station Condominiums,2900 DOWNING ST,,2002,Assessor Data,Building,Multi-family Condominium,,Multi-family Condominium,,46800,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6168,Exempt,REST & OFC,2600 WELTON ST,80205,2019,Assessor Data,Building,COMMERCIAL-OFFICE,,COMMERCIAL-OFFICE,,39696,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5948,Not Submitted,,2608 SYRACUSE ST,80238-2636,2005,Assessor Data,Building,Multi-family Condominium,,Multi-family Condominium,,68502,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2664,Not Submitted,,1955 PENNSYLVANIA ST,80203,1998,Assessor Data,Building,Commercial/Residential Mixed-use,,Commercial/Residential Mixed-use,,748368,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4022,In Compliance,"East First Avenue, LLC",8190 E 1st Avenue,80230,2007,Portfolio Manager,Building,Outpatient Rehabilitation/Physical Therapy,Outpatient Rehabilitation/Physical Therapy,Commercial,,26652,2020-12-31,0,3566437,133.8,3624804,136,495922,495922,0,0,0,1874352,0,0,387.9,0,0
3459,In Compliance,Cherry Creek,3000 East First Ave.,80206,1990,Portfolio Manager,Building,Enclosed Mall,Enclosed Mall,Commercial,,1069649,2020-12-31,0,73107974,68.3,72920557,68.2,19100755,14968859,4131895,0,0,7936196,0,0,11527.8,0,0
1810,In Compliance,Blessed Sacrament Catholic School Report,1958 Elm St.,80220,1956,Portfolio Manager,Building,Other - Education,Other - Education,Institutional,,48462,2020-12-31,0,971847,20.1,979990,20.2,242466,242466,0,0,0,144552,0,0,148.7,0,0
